 not sufficient 	 insufficient 
 little 	 not quite 
 short 	 not sufficient 
 inadmissible 	 not right 
 anybody 	 not everyone 
 certainly 	 not surprisingly 
 equally 	 not less 
 yet 	 not again 
 no 	 not okay 
 much 	 not less 
 merely 	 not simply 
 unclear 	 not available 
 weird 	 not normal 
 little 	 not long 
 tenable 	 not sustainable 
 weak 	 not adequate 
 not 	 n't that 
 no 	 not too 
 not 	 nothing of 
 not 	 no criminal 
 fully 	 not entirely 
 unreliable 	 not acceptable 
 okay 	 not serious 
 neither 	 not only 
 harsh 	 not cool 
 not 	 not exactly 
 wrong 	 not accurate 
 vast 	 not inconsiderable 
 forever 	 not ever 
 not 	 course not 
 indefensible 	 not permissible 
 no 	 not true 
 crazy 	 not right 
 insignificant 	 not likely 
 insufferable 	 not feasible 
 low 	 not sufficient 
 redundant 	 not useful 
 no 	 not long 
 little 	 not well 
 huh 	 not true 
 not 	 absolutely not 
 not 	 not without 
 risky 	 not safe 
 never 	 not yet 
 wrongly 	 not well 
 not 	 no point 
 no 	 not long 
 impermissible 	 not right 
 only 	 not merely 
 complex 	 not easy 
 not 	 instead of 
 hard 	 not obvious 
 not 	 n't i 
 cute 	 not bad 
 adequately 	 not enough 
 significant 	 not less 
 unattainable 	 not impossible 
 no 	 not here 
 definitely 	 not really 
 now 	 not anymore 
 unable 	 not impossible 
 counterfeit 	 not correct 
 thin 	 not much 
 prior 	 not later 
 away 	 not here 
 no 	 not exist 
 more 	 not anymore 
 mal 	 not well 
 poorly 	 not very 
 sparse 	 not many 
 little 	 not long 
 not 	 n't have 
 not 	 nothing , 
 not 	 still no 
 pretty 	 not bad 
 n.d. 	 not available 
 less 	 not least 
 nominal 	 not significant 
 especially 	 not least 
 within 	 not later 
 insufficiently 	 not well 
 less 	 not as 
 not 	 n't on 
 wrong 	 not true 
 not 	 could n't 
 few 	 not very 
 additionally 	 not least 
 still 	 not less 
 minimal 	 not much 
 inadequate 	 not complete 
 not 	 could n't 
 not 	 n't in 
 different 	 not equal 
 not 	 2 no 
 inefficient 	 not enough 
 anyone 	 not one 
 not 	 would n't 
 not 	 unable to 
 few 	 not long 
 unwell 	 not right 
 not 	 nor the 
 not 	 n't even 
 less 	 not much 
 furthermore 	 not only 
 just 	 not but 
 not 	 none of 
 not 	 less than 
 not 	 should n't 
 -no 	 not really 
 also 	 not least 
 not 	 n't ... 
 soon 	 not very 
 n.a. 	 not applicable 
 elusive 	 not feasible 
 not 	 has n't 
 not 	 had n't 
 not 	 have n't 
 not 	 no vote 
 not 	 oh no 
 not 	 not already 
 not 	 rather , 
 mainly 	 not least 
 besides 	 not only 
 impossible 	 not acceptable 
 around 	 not there 
 not 	 no new 
 not 	 not elsewhere 
 feasible 	 not impossible 
 not 	 n't even 
 not 	 hell no 
 anomalous 	 not right 
 non-compliant 	 not admissible 
 gee 	 not excessively 
 difficult 	 not hard 
 ok 	 not serious 
 ok 	 not bad 
 no 	 not under 
 irrelevant 	 not admissible 
 elsewhere 	 not only 
 not 	 not actually 
 no 	 not provide 
 not 	 not here 
 hardly 	 not reaily 
 unclear 	 not obvious 
 -no 	 not elsewhere 
 unusual 	 not right 
 correct 	 not right 
 not 	 n't about 
 not 	 yes no 
 amiss 	 not right 
 ineffective 	 not valid 
 modest 	 not many 
 feasible 	 not impossible 
 untenable 	 not feasible 
 not 	 neither the 
 faulty 	 not correct 
 nothing 	 not much 
 no 	 not now 
 not 	 absence of 
 no 	 not enough 
 short 	 not many 
 poor 	 not adequate 
 bullshit 	 not true 
 intolerable 	 not right 
 not 	 not otherwise 
 none 	 not everyone 
 not 	 not stop 
 fake 	 not right 
 no 	 not anymore 
 low 	 not enough 
 objectionable 	 not right 
 small 	 not many 
 more 	 not anymore 
 wrong 	 not good 
 shortage 	 not enough 
 shortages 	 not enough 
 not 	 n't for 
 harsh 	 not easy 
 also 	 not only 
 non 	 not elsewhere 
 not 	 not enough 
 unacceptable 	 not true 
 either 	 not one 
 not 	 are unable 
 not 	 is unable 
 not 	 been unable 
 not 	 were unable 
 not 	 be unable 
 not 	 was unable 
 not 	 being unable 
 not 	 not gonna 
 also 	 not least 
 not 	 the non 
 anymore 	 not now 
 not 	 not therefore 
 less 	 not even 
 specific 	 not least 
 not 	 s not 
 less 	 not more 
 smooth 	 not difficult 
 invalid 	 not ok 
 none 	 not applicable 
 frequently 	 not often 
 often 	 not always 
 admissible 	 not permissible 
 bogus 	 not correct 
 unacceptable 	 not possible 
 not 	 impossible to 
 nothingg 	 not much 
 not 	 not very 
 impossible 	 not more 
 inevitably 	 not necessarily 
 not 	 no fucking 
 mostly 	 not least 
 nothing 	 not one 
 too 	 not enough 
 miserable 	 not impossible 
 insignificant 	 not many 
 poor 	 not good 
 easily 	 not readily 
 damn 	 not excessively 
 defective 	 not sufficient 
 non-compliant 	 not receivable 
 few 	 not much 
 uncommon 	 not much 
 without 	 not yet 
 outrageous 	 not permissible 
 scarcely 	 not readily 
 incomplete 	 not enough 
 not 	 any less 
 cheap 	 not difficult 
 indeed 	 not even 
 not 	 no further 
 solely 	 not merely 
 not 	 no less 
 no 	 not gonna 
 no 	 not go 
 certainly 	 not only 
 non 	 not really 
 shortly 	 not enough 
 not 	 otherwise than 
 good 	 not bad 
 bad 	 not correct 
 not 	 nor a 
 not 	 not come 
 not 	 refraining from 
 not 	 refrain from 
 insufferable 	 not impossible 
 immaterial 	 not relevant 
 no 	 not waste 
 non 	 not guilty 
 sane 	 not unreasonable 
 tara 	 not everything 
 fewer 	 not so 
 not 	 n't from 
 genuinely 	 not really 
 none 	 not a 
 not 	 not again 
 like 	 not unlike 
 broad 	 not inconsiderable 
 not 	 ai n't 
 bad-looking 	 not right 
 not 	 of non 
 not 	 but without 
 fraudulent 	 not correct 
 close 	 not far 
 closer 	 not far 
 eh 	 not true 
 somewhat 	 not very 
 distinct 	 not equal 
 not 	 it without 
 no 	 not enough 
 different 	 not identical 
 not 	 maybe not 
 arduous 	 not easy 
 fussy 	 not easy 
 mistaken 	 not true 
 not 	 no water 
 hardly 	 not much 
 invalid 	 not right 
 no 	 not come 
 timeframe 	 not later 
 soon 	 not much 
 rational 	 not unreasonable 
 hard 	 not easily 
 never 	 not once 
 impossible 	 not easy 
 inadequate 	 not right 
 previously 	 not later 
 unreasonable 	 not right 
 almost 	 not far 
 hardly 	 not so 
 premature 	 not appropriate 
 not 	 now no 
 impermissible 	 not receivable 
 -no 	 not now 
 apart 	 not just 
 not 	 n't really 
 nothing 	 not anything 
 not 	 not right 
 sooner 	 not later 
 alone 	 not only 
 just 	 not simply 
 unfair 	 not correct 
 not 	 government not 
 not 	 not necessarily 
 scarcely 	 not well 
 unwarranted 	 not appropriate 
 totally 	 not really 
 bizarre 	 not normal 
 reaily 	 not really 
 always 	 not necessarily 
 barely 	 not well 
 separate 	 not equal 
 away 	 not now 
 normal 	 not surprising 
 inadmissible 	 not feasible 
 unnatural 	 not right 
 not 	 no extra 
 not 	 , instead 
 painful 	 not easy 
 ineligible 	 not right 
 not 	 no further 
 not 	 don 't 
 not 	 only just 
 disgraceful 	 not permissible 
 furthermore 	 not least 
 not 	 lack of 
 cool 	 not serious 
 shite 	 not jaydee 
 huh 	 not true 
 irrelevant 	 not gonna 
 untrue 	 not accurate 
 least 	 not less 
 yet 	 not even 
 responsibility 	 not responsible 
 just 	 not but 
 no 	 not create 
 just 	 not so 
 merely 	 not just 
 n't 	 not only 
 okay 	 not bad 
 inoperable 	 not operational 
 not 	 will only 
 so 	 not only 
 shortly 	 not much 
 inefficient 	 not efficient 
 unavailable 	 not impossible 
 fruitless 	 not useful 
 not 	 not right 
 fully 	 not completely 
 anybody 	 not one 
 irrelevant 	 not available 
 foolish 	 not unreasonable 
 even 	 not yet 
 not 	 , right 
 wack 	 not jaydee 
 not 	 not able 
 not 	 no shit 
 not 	 and without 
 not 	 no kidding 
 wise 	 not unreasonable 
 difficult 	 not obvious 
 shoot 	 not excessively 
 not 	 n't going 
 not 	 n't go 
 inside 	 not later 
 scarce 	 not many 
 unlikely 	 not feasible 
 gosh 	 not excessively 
 picky 	 not easy 
 still 	 not even 
 few 	 not enough 
 jeez 	 not excessively 
 just 	 not merely 
 sick 	 not ill 
 not 	 however , 
 anybody 	 not everybody 
 just 	 not really 
 not 	 all right 
 difficult 	 not right 
 n't 	 not that 
 nah 	 not really 
 elusive 	 not possible 
 insufferable 	 not possible 
 often 	 not less 
 not 	 definitely not 
 alright 	 not serious 
 out 	 not gonna 
 no. 	 not yet 
 terrible 	 not feasible 
 evil 	 not good 
 weird 	 not right 
 nah 	 not elsewhere 
 hardly 	 not too 
 -no 	 not simply 
 not 	 no problem 
 widespread 	 not uncommon 
 major 	 not insignificant 
 simply 	 not just 
 really 	 not quite 
 ill 	 not right 
 not 	 not under 
 shitty 	 not official 
 compensatory 	 not compulsory 
 okay 	 not hungry 
 non 	 not just 
 unthinkable 	 not right 
 inappropriate 	 not good 
 sick 	 not suitable 
 non 	 not simply 
 no 	 not good 
 not 	 the absence 
 not 	 perhaps not 
 impractical 	 not easy 
 minimal 	 not many 
 not 	 to fail 
 sick 	 not appropriate 
 cumbersome 	 not easy 
 unsafe 	 not sure 
 also 	 not even 
 recently 	 not very 
 rock-hard 	 not easy 
 doubtful 	 not safe 
 additionally 	 not only 
 short 	 not very 
 receivable 	 not permissible 
 tough 	 not hard 
 anything 	 not everything 
 course 	 not surprisingly 
 significant 	 not important 
 insignificant 	 not large 
 without 	 not even 
 least 	 not only 
 not 	 not use 
 crap 	 not excessively 
 non 	 not now 
 unworkable 	 not impossible 
 unnecessary 	 not applicable 
 convenient 	 not difficult 
 not 	 catalogue no 
 hopeless 	 not useful 
 bit 	 not long 
 even 	 not least 
 lame 	 not jaydee 
 more 	 not everything 
 difficult 	 not possible 
 practicable 	 not impossible 
 not 	 not again 
 not 	 n't gonna 
 scarce 	 not much 
 poorly 	 not much 
 more 	 not only 
 defective 	 not enough 
 application 	 not apply 
 application 	 not applied 
 sparse 	 not much 
 quite 	 not very 
 impractical 	 not applicable 
 solely 	 not simply 
 sparsely 	 not much 
 greatly 	 not less 
 not 	 the failure 
 n't 	 not right 
 not 	 a lack 
 non 	 not yet 
 not 	 why not 
 few 	 not long 
 not 	 contrary , 
 low 	 not very 
 not 	 can only 
 less 	 not least 
 not 	 otherwise , 
 inefficient 	 not adequate 
 hardto 	 not easy 
 not 	 not work 
 not 	 no big 
 admittedly 	 not only 
 not 	 just do 
 not 	 just does 
 not 	 just did 
 less 	 not quite 
 crazy 	 not true 
 not 	 not mean 
 -no 	 not otherwise 
 not 	 and non 
 not 	 order not 
 inefficiently 	 not well 
 unreliable 	 not credible 
 uncomfortable 	 not easy 
 darn 	 not excessively 
 scandalous 	 not acceptable 
 bit 	 not long 
 anything 	 not much 
 non 	 not otherwise 
 apart 	 not merely 
 boy 	 not excessively 
 meaningless 	 not significant 
 not 	 an absence 
 moot 	 not useful 
 admittedly 	 not surprisingly 
 not 	 only been 
 not 	 only be 
 no. 	 not just 
 not 	 n't he 
 not 	 not getting 
 not 	 not get 
 n't 	 not yet 
 moot 	 not important 
 plainly 	 not surprisingly 
 unconscionable 	 not right 
 not 	 not set 
 least 	 not even 
 apart 	 not simply 
 slightly 	 not very 
 true 	 not right 
 less 	 not even 
 bad 	 not ok 
 not 	 ca n't 
 awry 	 not well 
 immediately 	 not long 
 deficiencies 	 not enough 
 deficiency 	 not enough 
 unknown 	 not possible 
 pointless 	 not relevant 
 terrible 	 not possible 
 both 	 not just 
 sketchy 	 not complete 
 non-applicable 	 not relevant 
 not 	 not possible 
 net 	 not even 
 extensive 	 not inconsiderable 
 correctly 	 not well 
 insufficient 	 not much 
 barely 	 not readily 
 hurt 	 not right 
 hurting 	 not right 
 not 	 not long 
 not 	 , however 
 more 	 not anymore 
 too 	 not even 
 inappropriate 	 not enough 
 difficult 	 not good 
 crazy 	 not gonna 
 not 	 no real 
 not 	 catalogue no 
 terribly 	 not really 
 right 	 not well 
 persons 	 not everyone 
 person 	 not everyone 
 poorly 	 not enough 
 not 	 decide not 
 not 	 decided not 
 unavoidable 	 not feasible 
 unattainable 	 not practicable 
 simple 	 not hard 
 evil 	 not right 
 inefficient 	 not effective 
 -no 	 not just 
 not 	 of failure 
 out 	 not here 
 ani 	 not even 
 shortfalls 	 not enough 
 shortfall 	 not enough 
 non 	 not that 
 still 	 not so 
 practical 	 not realistic 
 tricky 	 not difficult 
 not 	 not put 
 scarcely 	 not very 
 unnecessary 	 not very 
 not 	 not happen 
 can 	 not able 
 beyond 	 not merely 
 sore 	 not right 
 not 	 it neither 
 barely 	 not even 
 illogical 	 not surprising 
 hardly 	 not well 
 undesirable 	 not good 
 practicable 	 not impossible 
 partly 	 not only 
 probable 	 not unreasonable 
 just 	 not until 
 honestly 	 not really 
 unwell 	 not good 
 irreconcilable 	 not compatible 
 not 	 ai n't 
 not 	 neither do 
 terrible 	 not good 
 actually 	 not quite 
 elsewhere 	 not just 
 unhealthy 	 not good 
 not 	 yet to 
 somewhat 	 not much 
 nah 	 not that 
 short 	 not long 
 harmful 	 not safe 
 certain 	 not least 
 short 	 not long 
 not 	 - nope 
 weak 	 not much 
 common 	 not uncommon 
 hardly 	 not yet 
 inoperative 	 not operational 
 not 	 instead , 
 indefensible 	 not right 
 not 	 the lack 
 private 	 not fair 
 either 	 not only 
 yeah 	 not true 
 not 	 not see 
 creepy 	 not jaydee 
 not 	 of non- 
 personally 	 not well 
 huh 	 not right 
 not 	 no kidding 
 no 	 not work 
 moreover 	 not only 
 neither 	 not simply 
 not 	 be impossible 
 not 	 is impossible 
 n-no 	 not now 
 lastly 	 not least 
 finally 	 not least 
 except 	 not just 
 solely 	 not just 
 ugly 	 not good 
 not 	 not constitute 
 neither 	 not that 
 not 	 , none 
 slightly 	 not much 
 over 	 not anymore 
 inadequate 	 not applicable 
 low 	 not many 
 not 	 no man 
 neither 	 not just 
 no 	 not usually 
 not 	 sales no 
 not 	 n't know 
 not 	 will neither 
 non 	 not all 
 unhappy 	 not right 
 off 	 not gonna 
 bogus 	 not right 
 scarcely 	 not often 
 helpful 	 not useful 
 just 	 not very 
 elusive 	 not easy 
 otherwise 	 not only 
 wide 	 not inconsiderable 
 wide-ranging 	 not inconsiderable 
 compensatory 	 not mandatory 
 okay 	 not true 
 not 	 free of 
 rarely 	 not very 
 scarcely 	 not much 
 insufficient 	 not complete 
 not 	 still does 
 not 	 still do 
 vain 	 not useful 
 more 	 not least 
 unknown 	 not feasible 
 nasty 	 not good 
 not 	 - nope 
 not 	 the contrary 
 large 	 not inconsiderable 
 not 	 not provided 
 not 	 not provide 
 least 	 not just 
 not 	 not represent 
 not 	 though not 
 neither 	 not really 
 not 	 un no. 
 not 	 and nor 
 beforehand 	 not later 
 harmless 	 not dangerous 
 inter 	 not only 
 amiss 	 not well 
 no.no 	 not otherwise 
 not 	 n't help 
 not 	 nothing wrong 
 nothing 	 not all 
 untenable 	 not impossible 
 not 	 no thanks 
 definitely 	 not only 
 not 	 n't use 
 insufferable 	 not practicable 
 ineffective 	 not enough 
 however 	 not even 
 hardly 	 not often 
 barely 	 not easily 
 not 	 've no 
 nah 	 not now 
 not 	 fuck that 
 minimally 	 not very 
 uncomfortable 	 not right 
 not 	 , never 
 insignificant 	 not big 
 not 	 no man 
 alone 	 not just 
 nah 	 not simply 
 sometime 	 not long 
 not 	 ... without 
 inadmissible 	 not possible 
 not 	 ' t 
 right 	 not to 
 hell 	 not excessively 
 not 	 to refrain 
 counterfeit 	 not right 
 never 	 not always 
 not 	 don ' 
 not 	 - without 
 often 	 not always 
 huh 	 not right 
 properly 	 not well 
 -not 	 not right 
 na 	 not available 
 not 	 n't think 
 not 	 i right 
 organically 	 not surprisingly 
 not 	 stop it 
 bad 	 not easy 
 not 	 i right 
 not 	 non for 
 -no 	 not yet 
 clean 	 not ill 
 untenable 	 not possible 
 rough 	 not hard 
 besides 	 not just 
 short 	 not much 
 low 	 not well 
 there 	 not yet 
 unknown 	 not available 
 not 	 not say 
 not 	 all right 
 once 	 not well 
 though 	 not even 
 simply 	 not but 
 no 	 not use 
 not 	 's nothing 
 infeasible 	 not possible 
 formerly 	 not later 
 tougher 	 not easy 
 no 	 not including 
 no 	 not include 
 not 	 will never 
 same 	 not even 
 not 	 not support 
 nah 	 not otherwise 
 outrageous 	 not right 
 not 	 impossible for 
 sparsely 	 not long 
 not 	 the failure 
 wrong 	 not to 
 no 	 not show 
 oh 	 not here 
 otherwise 	 not just 
 not 	 it only 
 fraudulent 	 not right 
 still 	 not too 
 currently 	 not yet 
 noticeable 	 not negligible 
 usual 	 not unusual 
 sick 	 not right 
 not 	 we fail 
 bad-looking 	 not good 
 free 	 not available 
 upset 	 not right 
 lousy 	 not good 
 beyond 	 not simply 
 barely 	 not very 
 easiest 	 not hard 
 admissible 	 not receivable 
 only 	 not always 
 not 	 less of 
 not 	 to lack 
 much 	 not very 
 special 	 not least 
 seldom 	 not very 
 anyone 	 not everybody 
 not 	 have nothing 
 alright 	 not bad 
 tara 	 not all 
 not 	 nothin ' 
 not 	 choose not 
 exclusively 	 not only 
 less 	 not nearly 
 not 	 they fail 
 not 	 they failed 
 frequently 	 not infrequently 
 infeasible 	 not impossible 
 less 	 not , 
 furthermore 	 not even 
 no 	 not quite 
 not 	 outside the 
 not 	 n't right 
 ever 	 not even 
 modest 	 not big 
 -no 	 not even 
 ggonna 	 not gonna 
 reprehensible 	 not right 
 practicable 	 not possible 
 not 	 failure of 
 not 	 not likely 
 non-applicable 	 not available 
 goddamn 	 not excessively 
 less 	 not as 
 modest 	 not enough 
 dicey 	 not safe 
 not 	 , either 
 unavoidable 	 not possible 
 noticeable 	 not inconsiderable 
 irrelevant 	 not true 
 0 	 not one 
 not 	 only just 
 notwithstanding 	 not even 
 bizarre 	 not right 
 not 	 refuses to 
 not 	 refuse to 
 not 	 refused to 
 not 	 refusing to 
 hardly 	 not simply 
 not 	 outside of 
 more 	 not either 
 not 	 don " 
 not 	 no money 
 not 	 n't come 
 however 	 not less 
 not 	 n't make 
 n't 	 not much 
 inexact 	 not accurate 
 easier 	 not difficult 
 easy 	 not difficult 
 expensive 	 not cheap 
 not 	 not acceptable 
 nay 	 not really 
 sorry 	 not possible 
 well 	 not even 
 partial 	 not comprehensive 
 ill 	 not readily 
 not 	 would only 
 less 	 not much 
 actually 	 not even 
 not 	 no good 
 noticeable 	 not insignificant 
 not 	 nor can 
 low 	 not long 
 not 	 not good 
 merely 	 not but 
 similarly 	 not even 
 minor 	 not much 
 small 	 not long 
 or 	 not even 
 else 	 not equal 
 only 	 not till 
 not 	 wrong to 
 not 	 no. 973 
 terrible 	 not right 
 mal 	 not right 
 only 	 not , 
 nope 	 not otherwise 
 not 	 n't just 
 just 	 not in 
 not 	 absence without 
 n't 	 not well 
 sick 	 not applicable 
 simply 	 not merely 
 not 	 must n't 
 not 	 not available 
 not 	 shall only 
 not 	 wrong , 
 not 	 n't get 
 not 	 n't got 
 never 	 not ever 
 worse 	 not well 
 not 	 the non- 
 not 	 n't want 
 crazy 	 not good 
 ineffectual 	 not effective 
 again 	 not yet 
 short 	 not long 
 unlikely 	 not much 
 not 	 it impossible 
 n-no 	 not that 
 negatively 	 not well 
 none 	 not , 
 too 	 not least 
 inaccurate 	 not precise 
 not 	 n't like 
 not 	 anything else 
 untenable 	 not right 
 not 	 never be 
 not 	 never been 
 impractical 	 not workable 
 less 	 not very 
 not 	 short of 
 anything 	 not much 
 unreal 	 not right 
 not 	 it hardly 
 few 	 not long 
 okay 	 not gonna 
 not 	 n't she 
 geez 	 not excessively 
 however 	 not only 
 not 	 really did 
 not 	 really does 
 not 	 really do 
 forbidden 	 not permissible 
 thin 	 not many 
 unclear 	 not easy 
 not 	 don t 
 there 	 not only 
 uncommon 	 not many 
 n't 	 not there 
 not 	 a failure 
 not 	 yet , 
 jesus 	 not excessively 
 satisfactory 	 not sufficient 
 not 	 it never 
 not 	 're kidding 
 -no 	 not long 
 furthermore 	 not just 
 never 	 not so 
 not 	 had yet 
 not 	 has yet 
 not 	 have yet 
 not 	 yes no 
 miserable 	 not practicable 
 moreover 	 not least 
 most 	 not anymore 
 not 	 - nah 
 compensatory 	 not obligatory 
 eh 	 not right 
 nah 	 not just 
 not 	 and neither 
 real 	 not really 
 poorly 	 not long 
 not 	 not bad 
 not 	 would never 
 unlikely 	 not impossible 
 around 	 not here 
 included 	 not least 
 including 	 not least 
 include 	 not least 
 accurate 	 not true 
 sorry 	 not cool 
 irrelevant 	 not much 
 smooth 	 not hard 
 not 	 incapable of 
 'regonna 	 not gonna 
 likewise 	 not even 
 unnecessary 	 not relevant 
 not 	 do something 
 bullshit 	 not right 
 not 	 can never 
 both 	 not simply 
 extraordinary 	 not normal 
 under 	 not so 
 not 	 never to 
 zero 	 not one 
 not 	 only , 
 permissible 	 not impossible 
 poor 	 not much 
 not 	 you know 
 only 	 not in 
 more 	 not another 
 n-no 	 not otherwise 
 not 	 none at 
 not 	 n't nothing 
 incomplete 	 not adequate 
 sure 	 not least 
 sinful 	 not right 
 eh 	 not right 
 not 	 no. 33480 
 not 	 say no 
 dude 	 not excessively 
 unable 	 not practicable 
 not 	 of less 
 just 	 not even 
 over 	 not anymore 
 god 	 not excessively 
 affordable 	 not unreasonable 
 harmless 	 not harmful 
 hard 	 not well 
 not 	 although not 
 never 	 not just 
 not 	 ever before 
 ill 	 not good 
 ugly 	 not right 
 nope 	 not really 
 defective 	 not adequate 
 absurd 	 not reasonable 
 not 	 forget it 
 not 	 was less 
 not 	 is less 
 not 	 be less 
 not 	 are less 
 au 	 not later 
 poorly 	 not readily 
 bad 	 not very 
 folks 	 not everybody 
 not 	 without it 
 non 	 not even 
 inappropriate 	 not ok 
 groundless 	 not well-founded 
 elsewhere 	 not merely 
 no 	 not likely 
 unconscionable 	 not reasonable 
 not 	 - nothing 
 barely 	 not much 
 both 	 not merely 
 none 	 not been 
 none 	 not be 
 none 	 not being 
 not 	 may only 
 alone 	 not so 
 minimally 	 not much 
 not 	 n't say 
 no 	 not possible 
 person 	 not one 
 persons 	 not one 
 slightly 	 not long 
 substantial 	 not inconsiderable 
 inadequate 	 not enough 
 negligeable 	 not significant 
 silly 	 not jaydee 
 alike 	 not only 
 least 	 not as 
 over 	 not either 
 nonetheless 	 not even 
 not 	 beyond the 
 aside 	 not only 
 less 	 not been 
 less 	 not be 
 against 	 not support 
 inadequately 	 not adequately 
 not 	 wrong with 
 secondly 	 not only 
 pat 	 not even 
 something 	 not one 
 brutal 	 not easy 
 unique 	 not equal 
 not 	 still in 
 unclear 	 not precise 
 short 	 not much 
 fewer 	 not even 
 none 	 not have 
 only 	 not be 
 possibly 	 not even 
 right 	 not really 
 right 	 not that 
 useless 	 not necessary 
 ill-advised 	 not reasonable 
 not 	 come on 
 straightforward 	 not easy 
 not 	 " without 
 low 	 not much 
 former 	 not later 
 uncertain 	 not safe 
 minimal 	 not long 
 equally 	 not even 
 not 	 a failure 
 not 	 deny it 
 unsupported 	 not compatible 
 nil 	 not one 
 not 	 , yes 
 below 	 not so 
 actually 	 not only 
 obtainable 	 not feasible 
 questionable 	 not satisfactory 
 unhappy 	 not good 
 inappropriate 	 not feasible 
 most 	 not now 
 life-threatening 	 not safe 
 not 	 no. 2545 
 sometime 	 not very 
 not 	 to avoid 
 most 	 not more 
 not 	 please do 
 not 	 which fail 
 not 	 which failed 
 no 	 not feasible 
 simple 	 not easy 
 not 	 has never 
 not 	 have never 
 not 	 had never 
 marginally 	 not very 
 gradually 	 not very 
 useless 	 not useful 
 sick 	 not good 
 not 	 wrong with 
 sane 	 not crazy 
 not 	 inability to 
 not 	 come on 
 most 	 not only 
 not 	 lack a 
 low 	 not long 
 hardly 	 not on 
 inappropriate 	 not desirable 
 counterproductive 	 not useful 
 not 	 no. 1 
 elsewhere 	 not simply 
 upset 	 not good 
 not 	 the contrary 
 invalid 	 not receivable 
 not 	 and nothing 
 low 	 not much 
 not 	 keep in 
 -nobody 	 not one 
 scarcity 	 not enough 
 lack 	 not much 
 poorly 	 not easily 
 ridiculous 	 not serious 
 blameless 	 not guilty 
 not 	 n't mean 
 not 	 nor any 
 loosely 	 not well 
 off-limits 	 not permissible 
 unworkable 	 not practical 
 not 	 of unexploded 
 sore 	 not significant 
 little 	 not yet 
 attainable 	 not impossible 
 not 	 lack the 
 not 	 should only 
 scraps 	 not much 
 elusive 	 not impossible 
 subsequently 	 not now 
 could 	 not able 
 barely 	 not often 
 unwise 	 not appropriate 
 not 	 n't at 
 minus 	 not so 
 over 	 not only 
 not 	 n't need 
 not 	 n't wear 
 not 	 - yes 
 impossible 	 not available 
 anything 	 not one 
 not 	 , too 
 right 	 not now 
 not 	 exclusion of 
 hairy 	 not safe 
 not 	 n't . 
 not 	 to never 
 ill 	 not easily 
 inappropriate 	 not useful 
 not 	 nevertheless , 
 rare 	 not much 
 not 	 , huh 
 unhealthy 	 not right 
 not 	 kind of 
 recently 	 not much 
 horrible 	 not right 
 not 	 step , 
 not 	 simply do 
 under-inclusive 	 not exhaustive 
 poor 	 not right 
 not 	 's failure 
 shortly 	 not well 
 incomplete 	 not exhaustive 
 indeed 	 not only 
 not 	 - well 
 nope 	 not elsewhere 
 hard 	 not good 
 awful 	 not good 
 seldom 	 not much 
 void 	 not applicable 
 unaffordable 	 not sustainable 
 awful 	 not right 
 not 	 my god 
 quite 	 not well 
 anything 	 not much 
 solely 	 not but 
 otherwise 	 not yet 
 somewhat 	 not long 
 not 	 n't try 
 achievable 	 not impossible 
 worse 	 not right 
 not 	 well , 
 quite 	 not much 
 hard 	 not right 
 non 	 not long 
 not 	 not think 
 unavailable 	 not practicable 
 not 	 of ne 
 not 	 less than 
 even 	 not only 
 not 	 , stop 
 hardly 	 not that 
 miserable 	 not right 
 low 	 not long 
 unless 	 not yet 
 not 	 , step 
 huh 	 not to 
 nah 	 not yet 
 inexact 	 not correct 
 naw 	 not now 
 nah 	 not even 
 not 	 you fail 
 less 	 not much 
 lf 	 not unless 
 pointless 	 not available 
 access 	 not available 
 not 	 " t 
 huh 	 not really 
 not 	 certainly do 
 shit 	 not much 
 not 	 that nothing 
 satisfactory 	 not enough 
 incompletely 	 not fully 
 time 	 not long 
 insensitive 	 not cool 
 not 	 n't here 
 not 	 all right 
 fewer 	 not less 
 not 	 never , 
 not 	 whether such 
 already 	 not yet 
 really 	 not bad 
 unevenly 	 not well 
 not 	 no. 31363 
 anymore 	 not only 
 objectionable 	 not eligible 
 ineffective 	 not sufficient 
 not 	 other hand 
 not 	 just could 
 ok 	 not much 
 harmless 	 not serious 
 not 	 's only 
 pointless 	 not necessary 
 tight 	 not easy 
 okay 	 not much 
 good 	 not well 
 conceivable 	 not impossible 
 not 	 to go 
 inactive 	 not operational 
 nope 	 not . 
 still 	 not really 
 more 	 not ever 
 ago 	 not later 
 not 	 the wrong 
 more 	 not still 
 than 	 not only 
 cheap 	 not hard 
 not 	 , t 
 not 	 ever before 
 painful 	 not right 
 not 	 quite a 
 includes 	 not least 
 recently 	 not much 
 okay 	 not true 
 nah 	 not all 
 not 	 borne in 
 rare 	 not many 
 disgraceful 	 not right 
 folks 	 not everyone 
 outside 	 not gonna 
 not 	 of african 
 poorly 	 not adequately 
 progressively 	 not very 
 frequent 	 not uncommon 
 somewhat 	 not so 
 unexceptable 	 not right 
 over 	 not now 
 older 	 not anymore 
 minimal 	 not much 
 farther 	 not anymore 
 fine 	 not much 
 rough 	 not right 
 not 	 no. 5 
 back 	 not there 
 incomplete 	 not satisfactory 
 little 	 not often 
 more 	 not only 
 not 	 oh , 
 sorry 	 not well 
 eventually 	 not now 
 down 	 not well 
 outside 	 not only 
 aground 	 not successful 
 not 	 , god 
 not 	 i never 
 little 	 not too 
