 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 it is unreasonable to 	 it is not reasonable to 
 [NP,1] does not exist . 	 [NP,1] does n't exist . 
 is unable to be [VP\VB,1] 	 can not be [VP\VB,1] 
 'm not finished 	 'm not done 
 [DT,1] is n't happening . 	 [DT,1] 's not true . 
 not think [IN,1] [S,2] 	 n't think [IN,1] [S,2] 
 - [PRP,1] [VBZ,2] not bad 	 - [PRP,1] [VBZ,2] nothing 
 if [PRP,1] [VBP,2] n't come 	 if [PRP,1] [VBP,2] not coming 
 and not just [VB,1] [VP\VB,2] 	 and not simply [VB,1] [VP\VB,2] 
 has not been established that 	 has not been shown that 
 fails to 	 not 
 do n't know [SBAR/PP,1] [PP,2] 	 do not know [SBAR/PP,1] [PP,2] 
 is [RB,1] untrue . 	 is [RB,1] not true . 
 - no , not [PP,1] 	 - oh , not [PP,1] 
 [VBP,1] not understand [NP/NN,2] 	 [VBP,1] not include [NP/NN,2] 
 [VBD,1] n't [VP/NN,2] child . 	 [VBD,1] not [VP/NN,2] child . 
 this [VBZ,1] dangerous [.,2] 	 it [VBZ,1] not safe [.,2] 
 it [VBZ,1] n't matter . 	 it [VBZ,1] not important . 
 do not [VB,1] if [S/ADJP,2] 	 do n't [VB,1] if [S/ADJP,2] 
 [SBAR/RB,1] n't , [PRP,2] 	 [SBAR/RB,1] not , [PRP,2] 
 [COMMA,1] not so much . 	 [COMMA,1] not really . 
 do not think [PRP,1] [VBZ,2] 	 do not believe [PRP,1] [VBZ,2] 
 n't the first 	 not the first 
 [PP,1] [VBZ,2] not negligible 	 [PP,1] [VBZ,2] not insignificant 
 [VBD,1] n't go 	 [VBD,1] not go 
 no deal . 	 not for sale . 
 is not a [JJ,1] idea 	 's not a [JJ,1] idea 
 [WP,1] are unable to [VB,2] 	 [WP,1] can not [VB,2] 
 [VP/VP,1] [VP/VP,2] can not 	 [VP/VP,1] [VP/VP,2] ca n't 
 not [NP/PRP,1] me 	 n't [NP/PRP,1] me 
 [NP,1] does not fulfil [NP/NP,2] 	 [NP,1] does not satisfy [NP/NP,2] 
 it [VBZ,1] not my [NN,2] 	 that [VBZ,1] n't my [NN,2] 
 not sufficiently 	 inadequately 
 you did not [VP/NNS,1] 	 you have n't [VP/NNS,1] 
 [NP,1] and can not [VP,2] 	 [NP,1] and ca n't [VP,2] 
 [EX,1] has not [VBN,2] 	 [EX,1] has n't [VBN,2] 
 n't over . 	 not over . 
 n't [NP,1] for me 	 not [NP,1] for me 
 [S/S,1] the [NN,2] failed 	 [S/S,1] the [NN,2] does not 
 [PP/PP,1] [PP,2] rather than 	 [PP/PP,1] [PP,2] and not 
 satisfying neither the requirements of 	 not satisfying the requirements of 
 do not [VP/VP,1] [VP/SBAR,2] if 	 do n't [VP/VP,1] [VP/SBAR,2] if 
 [PRP,1] 'm not sure [SBAR/VP,2] 	 [PRP,1] do n't know [SBAR/VP,2] 
 does not have [NP,1] [PP,2] 	 does n't have [NP,1] [PP,2] 
 n't know [WRB,1] i [VBP,2] 	 not know [WRB,1] i [VBP,2] 
 do n't have [NP/RB,1] [RB,2] 	 do not have [NP/RB,1] [RB,2] 
 [PRP$,1] [NN,2] does n't have 	 [PRP$,1] [NN,2] does not have 
 and [NP,1] fails [VP,2] 	 and [NP,1] does not [VP,2] 
 am not [ADJP/VP,1] [VBZ,2] 	 'm not [ADJP/VP,1] [VBZ,2] 
 [VP/VP,1] 's not true . 	 [VP/VP,1] is wrong . 
 [VBP,1] not know [SBAR/PRP,2] 	 [VBP,1] n't know [SBAR/PRP,2] 
 [DT,1] is not [NP/NNP,2] 	 [DT,1] is n't [NP/NNP,2] 
 n't believe [IN,1] [NP,2] 	 not believe [IN,1] [NP,2] 
 not [VB,1] that [S,2] 	 n't [VB,1] that [S,2] 
 n't [ADJP,1] for [PRP,2] 	 not [ADJP,1] for [PRP,2] 
 will not [VB,1] able 	 will [VB,1] unable 
 she 's not [VP/PRP,1] [PRP,2] 	 she does n't [VP/PRP,1] [PRP,2] 
 [VBZ,1] not persuaded [SBAR/VP,2] 	 [VBZ,1] not satisfied [SBAR/VP,2] 
 is not produced [IN,1] 	 is not manufactured [IN,1] 
 " we do not have 	 " we do n't have 
 that 's not [WP,1] 	 that is not [WP,1] 
 [VBP,1] not need [NP/NP,2] 	 [VBP,1] n't need [NP/NP,2] 
 [CC,1] non-exhaustive 	 [CC,1] not exhaustive 
 israel would not 	 israel wo n't 
 since i do not [VP/NN,1] 	 because i do not [VP/NN,1] 
 [IN,1] at least seven 	 [IN,1] not less than seven 
 're not [VBG,1] [PRP,2] 	 's not [VBG,1] [PRP,2] 
 it [VBD,1] not possible to 	 it [VBD,1] impossible to 
 i do n't [VB,1] [NP/PP,2] 	 i do not [VB,1] [NP/PP,2] 
 [PRP,1] do not [VB,2] where 	 [PRP,1] do n't [VB,2] where 
 is not [NP,1] [WP,2] 	 's not [NP,1] [WP,2] 
 [WP,1] are unable 	 [WP,1] can not 
 is n't [NP/DT,1] 	 is not [NP/DT,1] 
 that i [VBP,1] not [VB,2] 	 that i [VBP,1] n't [VB,2] 
 [VBD,1] impossible [VP/SBAR,2] 	 [VBD,1] not possible [VP/SBAR,2] 
 [PRP,1] am not [ADJP/PRP,2] 	 [PRP,1] 'm not [ADJP/PRP,2] 
 not [VP/NP,1] total shown 	 not [VP/NP,1] totals shown 
 not affect the obligations 	 be without prejudice to the obligations 
 is not a question [PP/PP,1] 	 is not a matter [PP/PP,1] 
 [NNP,1] 's not gonna [VP,2] 	 [NNP,1] 's not going [VP,2] 
 am not [VBG,1] [NP,2] . 	 're not [VBG,1] [NP,2] . 
 [WRB,1] [S/VP,2] has failed 	 [WRB,1] [S/VP,2] has not 
 am not saying [IN,1] [S,2] 	 'm not saying [IN,1] [S,2] 
 it 's not bad . 	 that 's pretty good . 
 not [VP/NP,1] [DT,2] year 	 n't [VP/NP,1] [DT,2] year 
 so as not to [VP/PP,1] 	 in order not [VP/PP,1] 
 unavailable 	 not available 
 [VBP,1] not know [SBAR/VBN,2] 	 [VBP,1] n't know [SBAR/VBN,2] 
 not be overstated 	 not be overemphasized 
 he [VBD,1] not [VP/NN,2] 	 the debtor [VBD,1] not [VP/NN,2] 
 does n't [VP/NP,1] [NP/VBP,2] 	 does not [VP/NP,1] [NP/VBP,2] 
 that [NNP,1] [VBZ,2] failed 	 that [NNP,1] [VBZ,2] not 
 [VBZ,1] not funny 	 [VBZ,1] n't funny 
 [PRP,1] was not possible [VP/SBAR,2] 	 [PRP,1] was impossible [VP/SBAR,2] 
 's [NP,1] , not [NP/NN,2] 	 is [NP,1] , not [NP/NN,2] 
 has failed [VP/NP,1] the [NP\DT,2] 	 has not [VP/NP,1] the [NP\DT,2] 
 [PRP,1] 're not [PP/NN,2] 	 [PRP,1] are not [PP/NN,2] 
 [PRP,1] is not [NP/VP,2] 	 [PRP,1] 's not [NP/VP,2] 
 this [VBZ,1] not the time 	 it [VBZ,1] bad timing 
 do not believe there 	 do not think that there 
 not [VB,1] into account [NP,2] 	 not [VB,1] into consideration [NP,2] 
 [VP/PP,1] [PP,2] and not 	 [VP/PP,1] [PP,2] rather than 
 the state fails to 	 the state did not 
 [VBP,1] not a moron . 	 [VBP,1] not an idiot . 
 [MD,1] not be interpreted [PP/NN,2] 	 [MD,1] not be construed [PP/NN,2] 
 [IN,1] [DT,2] who ca n't 	 [IN,1] [DT,2] who can not 
 [VBD,1] not die [PP,2] . 	 [VBD,1] n't die [PP,2] . 
 [VP/VP,1] has failed [VP/SBAR,2] that 	 [VP/VP,1] has not [VP/SBAR,2] that 
 [NNP,1] is not [PP,2] 	 [NNP,1] is n't [PP,2] 
 [PRP,1] was n't [NP/SBAR,2] 	 [PRP,1] was not [NP/SBAR,2] 
 not possible [PP/NN,1] [NN,2] 	 impossible [PP/NN,1] [NN,2] 
 is n't working . 	 's not working . 
 are not [ADJP,1] [.,2] 	 're not [ADJP,1] [.,2] 
 [NP,1] did not demonstrate that 	 [NP,1] did not establish that 
 [NP,1] [VBZ,2] unsatisfactory 	 [NP,1] [VBZ,2] not satisfactory 
 [DT,1] complainant had not [VBN,2] 	 [DT,1] author had not [VBN,2] 
 commission does not want to 	 commission does not wish to 
 [VBZ,1] not his [NN,2] . 	 [VBZ,1] n't his [NN,2] . 
 [VBP,1] n't understand [NP,2] 	 [VBP,1] not understand [NP,2] 
 was not possible [VP/NP,1] [DT,2] 	 was impossible [VP/NP,1] [DT,2] 
 has not refuted 	 has not contested 
 you [VBP,1] n't have [NP,2] 	 you [VBP,1] not have [NP,2] 
 is not a question 	 is not a matter 
 [IN,1] [NP,2] is n't already 	 [IN,1] [NP,2] is not yet 
 is n't [NP,1] [VP/PRP,2] 	 is not [NP,1] [VP/PRP,2] 
 not provide [NP/NP,1] [NP,2] 	 not submit [NP/NP,1] [NP,2] 
 [NP\NP,1] does not [VB,2] 	 [NP\NP,1] do n't [VB,2] 
 [PRP,1] do not allow 	 [PRP,1] do not let 
 since [PRP,1] have not [VP/PP,2] 	 because [PRP,1] have not [VP/PP,2] 
 we can not afford to 	 we can not allow ourselves to 
 [VBZ,1] not likely [SBAR/VP,2] 	 [VBZ,1] unlikely [SBAR/VP,2] 
 [SBAR/VP,1] was unfounded 	 [SBAR/VP,1] was not valid 
 [PP/VP,1] [MD,2] only be 	 [PP/VP,1] [MD,2] not be 
 on [NP/VP,1] can not 	 on [NP/VP,1] can only 
 [WDT,1] [VBD,2] not parties to 	 [WDT,1] [VBD,2] not party to 
 [NP,1] [NP\NP,2] wo n't 	 [NP,1] [NP\NP,2] would not 
 in [NP/VP,1] [MD,2] only be 	 in [NP/VP,1] [MD,2] not be 
 [SBAR/VP,1] does not solve [DT,2] 	 [SBAR/VP,1] does not resolve [DT,2] 
 [WDT,1] do not permit 	 [WDT,1] do not allow 
 that [VBZ,1] not true [.,2] 	 it [VBZ,1] n't true [.,2] 
 are not [IN,1] [DT,2] 	 're not [IN,1] [DT,2] 
 the claimant [VBZ,1] failed 	 the claimant [VBZ,1] not 
 [VBZ,1] not provide [NN,2] 	 [VBZ,1] not give [NN,2] 
 name does not appear [PP,1] 	 names are not [PP,1] 
 [VBZ,1] not consider [IN,2] 	 [VBZ,1] not find [IN,2] 
 are not regarded 	 are not considered 
 even though [DT,1] [VBZ,2] not 	 although [DT,1] [VBZ,2] not 
 [NP,1] [VBP,2] not subject 	 [NP,1] [VBP,2] not subjected 
 [VBZ,1] n't for [PRP,2] 	 [VBZ,1] not for [PRP,2] 
 'm not looking [PP,1] . 	 want none [PP,1] . 
 is wrong [TO,1] [VB,2] 	 is not true [TO,1] [VB,2] 
 [VBZ,1] not cool ! 	 [VBZ,1] n't cool ! 
 not complete 	 incomplete 
 [NP\DT,1] is not possible 	 [NP\DT,1] is not feasible 
 [VBD,1] not [VB,2] time 	 [VBD,1] n't [VB,2] time 
 ai n't [VBG,1] [NP,2] . 	 'm not [VBG,1] [NP,2] . 
 not only because 	 not just because 
 [PP/PP,1] of not less than 	 [PP/PP,1] of at least 
 [NP,1] are not [ADJP,2] 	 [NP,1] are n't [ADJP,2] 
 they [VBD,1] n't [VP/NN,2] 	 they [VBD,1] not [VP/NN,2] 
 notes [SBAR/VP,1] has not [VP/VP,2] 	 noted [SBAR/VP,1] has not [VP/VP,2] 
 not be that 	 not be the case that 
 [VBD,1] n't write [DT,2] 	 [VBD,1] not write [DT,2] 
 ca n't [VB,1] [NP,2] because 	 can not [VB,1] [NP,2] because 
 [VBZ,1] not prepared [VP,2] 	 [VBZ,1] not ready [VP,2] 
 [NNP,1] canada failed to 	 [NNP,1] canada has not 
 it is not [ADJP/NN,1] 	 it is n't [ADJP/NN,1] 
 am not convinced [SBAR/NP,1] 	 am not persuaded [SBAR/NP,1] 
 i [VBP,1] n't [VB,2] how 	 i [VBP,1] not [VB,2] how 
 is it not [ADJP,1] [.,2] 	 is n't it [ADJP,1] [.,2] 
 [DT,1] product [VBZ,2] not 	 [DT,1] produce [VBZ,2] not 
 not possible [VP/NNS,1] [NNS,2] 	 impossible [VP/NNS,1] [NNS,2] 
 do n't [VP/SBAR,1] [SBAR,2] . 	 'm not [VP/SBAR,1] [SBAR,2] . 
 it was unclear [IN,1] 	 it is not clear [IN,1] 
 [INTJ,1] [COMMA,2] not anymore 	 [INTJ,1] [COMMA,2] not now 
 not just the [NP\DT,1] [CC,2] 	 not only the [NP\DT,1] [CC,2] 
 you 're not allowed [VP,1] 	 it is forbidden [VP,1] 
 do not permit [S/VP,1] 	 do not allow [S/VP,1] 
 has still not entered [IN,1] 	 has not yet entered [IN,1] 
 not specifically 	 not explicitly 
 [VBD,1] not [VB,2] these 	 [VBD,1] n't [VB,2] these 
 , not only between 	 , not only among 
 is n't [NP/NP,1] a 	 is not [NP/NP,1] a 
 [IN,1] [NP,2] do not apply 	 [IN,1] [NP,2] are not applied 
 [PRP,1] is unlikely [IN,2] 	 [PRP,1] is not likely [IN,2] 
 that [NNP,1] [NNP,2] has not 	 that [NNP,1] [NNP,2] failed 
 i do n't [VB,1] who 	 i do not [VB,1] who 
 i do not [VB,1] [SBAR/ADVP,2] 	 i do n't [VB,1] [SBAR/ADVP,2] 
 the [NP\DT,1] [VBZ,2] not replied 	 the [NP\DT,1] [VBZ,2] not responded 
 n't call 	 not call 
 i do not think [SBAR/PP,1] 	 i do not believe [SBAR/PP,1] 
 does not imply that [S/PP,1] 	 does not mean that [S/PP,1] 
 [VBZ,1] not [VP/PRP,2] me . 	 [VBZ,1] n't [VP/PRP,2] me . 
 n'teven 	 not even 
 not , of course , 	 obviously not 
 do n't [VP/RB,1] again 	 do not [VP/RB,1] again 
 not speak [PP,1] 	 n't talk [PP,1] 
 rather than on [JJ,1] [NNS,2] 	 and not on [JJ,1] [NNS,2] 
 is not a question [PP/NP,1] 	 is not a matter [PP/NP,1] 
 where [NP,1] does not [VP/PP,2] 	 when [NP,1] fails [VP/PP,2] 
 am not [ADJP/SBAR,1] [SBAR,2] 	 'm not [ADJP/SBAR,1] [SBAR,2] 
 could never [VP/NP,1] any 	 can not [VP/NP,1] any 
 is not [NP/NP,1] [NP,2] 	 's not [NP/NP,1] [NP,2] 
 [COMMA,1] not just in [NNP,2] 	 [COMMA,1] not only in [NNP,2] 
 is not required [WRB,1] 	 need not be met [WRB,1] 
 could n't [VP/SBAR,1] [IN,2] 	 could not [VP/SBAR,1] [IN,2] 
 [VBZ,1] not mean that [S/NN,2] 	 [VBZ,1] n't mean [S/NN,2] 
 n't [VBG,1] me 	 not [VBG,1] me 
 [VBZ,1] not think [IN,2] 	 [VBZ,1] not believe [IN,2] 
 [SBAR/VP,1] [VBD,2] not participate 	 [SBAR/VP,1] [VBD,2] not take part 
 shino 	 chesnot 
 not to consider [NP,1] [IN,2] 	 not to discuss [NP,1] [IN,2] 
 not dying [IN,1] [NP,2] 	 n't die [IN,1] [NP,2] 
 n't on [NP,1] 	 not on [NP,1] 
 not [IN,1] if [S,2] 	 n't [IN,1] if [S,2] 
 do not [VB,1] , [VP,2] 	 do n't [VB,1] , [VP,2] 
 [VBP,1] not believe [NP,2] 	 [VBP,1] n't think [NP,2] 
 [DT,1] wo n't be necessary 	 [DT,1] will not be necessary 
 that [VBP,1] not party to 	 which [VBP,1] not parties to 
 - you [VBP,1] not [NP,2] 	 -you [VBP,1] not [NP,2] 
 i no longer [VBP,1] [ADJP,2] 	 i [VBP,1] not [ADJP,2] anymore 
 [DT,1] debtor had not [VP/NN,2] 	 [DT,1] had not [VP/NN,2] 
 not [VB,1] [NP/NN,2] matter 	 not [VB,1] [NP/NN,2] issue 
 is not possible [VP/PP,1] [PP/NN,2] 	 's impossible [VP/PP,1] [PP/NN,2] 
 not believe that the 	 not think the 
 [NP/VP,1] have n't [VP/SBAR,2] 	 [NP/VP,1] have not [VP/SBAR,2] 
 [IN,1] [S/VP,2] is impossible 	 [IN,1] [S/VP,2] is not possible 
 i ca n't [VP/NN,1] 	 i can not [VP/NN,1] 
 's not going [VP,1] [S\S,2] 	 're not gonna [VP,1] [S\S,2] 
 [DT,1] appellant [VBZ,2] failed to 	 [DT,1] appellant [VBZ,2] not 
 [SBAR/VP,1] [VBD,2] not passed 	 [SBAR/VP,1] [VBD,2] not adopted 
 's not [NP/VP,1] [VP,2] . 	 is n't [NP/VP,1] [VP,2] . 
 [SBAR/VP,1] lacked [NP/VP,2] 	 [SBAR/VP,1] did not have [NP/VP,2] 
 [VBZ,1] not ensure 	 [VBZ,1] not guarantee 
 - [DT,1] is not [NP,2] 	 - [DT,1] ai n't [NP,2] 
 [PRP,1] do not know whether 	 [PRP,1] do n't know if 
 not [VP/NP,1] these regulations 	 not [VP/NP,1] this regulation 
 we do not [VB,1] [WRB,2] 	 we do n't [VB,1] [WRB,2] 
 'm not insane . 	 found myself much more reasonable . 
 at least 20 	 not less than 20 
 [PRP,1] do not [VB,2] why 	 [PRP,1] do n't [VB,2] why 
 [WP,1] has n't [VP/PP,2] 	 [WP,1] has not [VP/PP,2] 
 [VBZ,1] not been demonstrated 	 [VBZ,1] not been shown 
 should not [VP/VP,1] [VP/ADJP,2] 	 should n't [VP/VP,1] [VP/ADJP,2] 
 is insufficient to [VB,1] 	 is not sufficient to [VB,1] 
 it 's none of my business 	 lumbergh is not my problem 
 [DT,1] state party had not 	 [DT,1] state party had failed 
 , but not [RB,1] , 	 , though not [RB,1] , 
 should [VB,1] remembered [IN,2] 	 can not [VB,1] forgotten [IN,2] 
 [SBAR/VP,1] does not allow [NP,2] 	 [SBAR/VP,1] does not permit [NP,2] 
 did not examine 	 did not consider 
 [VBZ,1] not allow [NP/NP,2] 	 [VBZ,1] not permit [NP/NP,2] 
 [VBZ,1] not merely a [NP\DT,2] 	 [VBZ,1] not just a [NP\DT,2] 
 it is not [SBAR/S,1] 	 this is n't [SBAR/S,1] 
 [VBP,1] not restricted [TO,2] 	 [VBP,1] not limited [TO,2] 
 [JJ,1] [NP\ADJP,2] not elsewhere specified 	 [JJ,1] [NP\ADJP,2] not otherwise specified 
 [NNP,1] says not 	 [NNP,1] says wo n't 
 are not obliged [VP/SBAR,1] 	 are not required [VP/SBAR,1] 
 [PRP,1] do not meet 	 [PRP,1] do not respect 
 [NP,1] does not comply [PP,2] 	 [NP,1] does not respond [PP,2] 
 so as not [VP/NP,1] [NP,2] 	 in order not [VP/NP,1] [NP,2] 
 this does not apply 	 this rule does not apply 
 [VBP,1] not in a position 	 [VBP,1] unable 
 not until you [VP,1] 	 not till you [VP,1] 
 [WDT,1] [VBZ,2] n't 	 [WDT,1] [VBZ,2] not 
 [VBZ,1] n't [VP/S,2] i 	 [VBZ,1] not [VP/S,2] i 
 n't live without [PRP,1] 	 not live without [PRP,1] 
 [VBP,1] not playing [PP/NNS,2] 	 [VBP,1] n't play [PP/NNS,2] 
 could not be said 	 could not say 
 [VBP,1] not sleeping 	 [VBP,1] n't sleep 
 not elsewhere [VBN,1] [-RRB-,2] 	 not [VBN,1] [-RRB-,2] 
 tribunal is unable 	 tribunal can not 
 do not think [SBAR/NP,1] [NP,2] 	 do not believe [SBAR/NP,1] [NP,2] 
 [S/VP,1] ca n't 	 [S/VP,1] can not 
 n't [VB,1] with us 	 not [VB,1] with us 
 was n't [ADJP/PP,1] [PP,2] 	 was not [ADJP/PP,1] [PP,2] 
 [PRP,1] is n't [NP/NNP,2] 	 [PRP,1] is not [NP/NNP,2] 
 [PP/VP,1] can not [VP/NN,2] 	 [PP/VP,1] are unable to [VP/NN,2] 
 the complainant does not [VP/NP,1] 	 the author did not [VP/NP,1] 
 [MD,1] not believe that 	 [MD,1] not think that 
 not very well 	 not so good 
 [VBP,1] not understand [NP/NP,2] 	 [VBP,1] n't understand [NP/NP,2] 
 the [NNP,1] party does not 	 the [NNP,1] party failed to 
 does not need [TO,1] [VP/S,2] 	 does n't have [TO,1] [VP/S,2] 
 [VBP,1] n't [PP/PRP,2] 	 [VBP,1] not [PP/PRP,2] 
 [VBZ,1] not feasible 	 [VBZ,1] not possible 
 does not offer [VP\VB,1] 	 does not provide [VP\VB,1] 
 [DT,1] european union [VBD,2] not 	 [DT,1] eu [VBD,2] not 
 [NN,1] is not solved 	 [NN,1] is not resolved 
 [VBD,1] been unable to [VP,2] 	 [VBD,1] not able to [VP,2] 
 disagree [IN,1] 	 do not agree [IN,1] 
 -lrb- but not [RB,1] [JJ,2] 	 -lrb- though not [RB,1] [JJ,2] 
 i [VBD,1] not [VP,2] 	 i [VBD,1] n't [VP,2] 
 the [NN,1] has not presented 	 the [NN,1] has not submitted 
 n't what [PRP,1] [VBZ,2] 	 not what [PRP,1] [VBZ,2] 
 n't pay [PP,1] 	 not paying [PP,1] 
 has failed [VP/S,1] [S/VP,2] 	 has not [VP/S,1] [S/VP,2] 
 ca n't be completed 	 can not be completed 
 not present [NN,1] 	 not here [NN,1] 
 [NP,1] was not able [VP/NP,2] 	 [NP,1] has been unable [VP/NP,2] 
 [VBD,1] n't part of the 	 [VBD,1] not part of the 
 he [VBD,1] not [VP/PP,2] 	 he [VBD,1] n't [VP/PP,2] 
 [VP/S,1] there was no need 	 [VP/S,1] it was not necessary 
 do not have [DT,1] [NNS,2] 	 lack [DT,1] [NNS,2] 
 not afraid [IN,1] him 	 n't afraid [IN,1] him 
 " i 'm not 	 " i am not 
 - it was n't [PRP,1] 	 - it 's not [PRP,1] 
 is n't cool [.,1] 	 's not cool [.,1] 
 [DT,1] authorities do n't 	 [DT,1] authorities do not 
 unjust 	 just not fair 
 we [VBP,1] not know [SBAR/NN,2] 	 we [VBP,1] n't know [SBAR/NN,2] 
 's not coming [.,1] 	 ai n't coming [.,1] 
 am not saying [SBAR/JJ,1] 	 'm not saying [SBAR/JJ,1] 
 not only [VP/PP,1] of [NP,2] 	 not just [VP/PP,1] of [NP,2] 
 not just [NP,1] [NP\NP,2] 	 not simply [NP,1] [NP\NP,2] 
 [NP,1] does not exist 	 [NP,1] does n't exist 
 the act does not [VB,1] 	 the law does not [VB,1] 
 he should not [VP,1] 	 he should n't [VP,1] 
 [VBP,1] not convinced [IN,2] 	 [VBP,1] not satisfied [IN,2] 
 [VBZ,1] not [SBAR/NP,2] 	 [VBZ,1] n't [SBAR/NP,2] 
 do n't think [IN,1] [S,2] 	 do not think [IN,1] [S,2] 
 [IN,1] [PRP,2] was unaware 	 [IN,1] [PRP,2] did not know 
 that [VBZ,1] n't in 	 that [VBZ,1] not in 
 [NP,1] [VBD,2] no intention of 	 [NP,1] [VBD,2] not intended to 
 [VBP,1] n't use [NP,2] 	 [VBP,1] not use [NP,2] 
 not [VP/NP,1] [PRP$,2] responses 	 not [VP/NP,1] [PRP$,2] answers 
 [PRP,1] 're not dead yet 	 [PRP,1] 's not dead 
 contains no [NP\DT,1] 	 does not contain any [NP\DT,1] 
 do n't [VB,1] why [S/PP,2] 	 does not [VB,1] why [S/PP,2] 
 [DT,1] author does not [VP/SBAR,2] 	 [DT,1] author failed to [VP/SBAR,2] 
 [PP,1] , although not 	 [PP,1] , though not 
 oh , not [RB,1] fast 	 not [RB,1] fast 
 [PRP,1] [VBP,2] not believe that 	 [PRP,1] [VBP,2] not think 
 wo n't be [DT,1] [JJ,2] 	 will not be [DT,1] [JJ,2] 
 ai n't [PRP$,1] [NP\PRP$,2] 	 's not [PRP$,1] [NP\PRP$,2] 
 can not apply 	 can not be applied 
 [DT,1] question [MD,2] not 	 [DT,1] matter [MD,2] not 
 was not warranted 	 was not justified 
 not [VP/NP,1] this case 	 not [VP/NP,1] the present case 
 's not gonna [VP/VP,1] 	 's not going [VP/VP,1] 
 [DT,1] government did not 	 [DT,1] government failed 
 is n't [NP/NP,1] [PRP$,2] 	 's not [NP/NP,1] [PRP$,2] 
 [VBP,1] not [VP/VP,2] see 	 [VBP,1] n't [VP/VP,2] make 
 not really [S\ADVP,1] 	 not exactly [S\ADVP,1] 
 not necessarily represent [NP/NNP,1] [NNP,2] 	 not necessarily reflect [NP/NNP,1] [NNP,2] 
 [PRP,1] was n't [NP/PP,2] 	 [PRP,1] was not [NP/PP,2] 
 because [PRP,1] are not 	 since [PRP,1] are not 
 ca n't say [IN,1] 	 can not say [IN,1] 
 [MD,1] not lead to [NP/PP,2] 	 [MD,1] not result in [NP/PP,2] 
 - not only [NP,1] 	 - not just [NP,1] 
 if [NNS,1] do n't [VB,2] 	 if [NNS,1] did not [VB,2] 
 's not [SBAR/NN,1] 	 is n't [SBAR/NN,1] 
 [NP,1] [VBD,2] not participate 	 [NP,1] [VBD,2] not take part 
 has failed to [VP/NP,1] [NNS,2] 	 has not [VP/NP,1] [NNS,2] 
 not see why [S/VP,1] [VP,2] 	 n't see why [S/VP,1] [VP,2] 
 is not compatible [PP/NNPS,1] 	 is incompatible [PP/NNPS,1] 
 [PP/PP,1] [PP,2] and not just 	 [PP/PP,1] [PP,2] and not only 
 [:,1] do n't be [JJ,2] 	 [:,1] do not be [JJ,2] 
 [VBD,1] not dispute [DT,2] 	 [VBD,1] not contest [DT,2] 
 do not [VB,1] [NNS,2] , 	 do n't [VB,1] [NNS,2] , 
 [WP,1] i do n't understand 	 [WP,1] i do not understand 
 [PRP,1] did n't [VP/VBD,2] 	 [PRP,1] did not [VP/VBD,2] 
 [VP/PP,1] of not 	 [VP/PP,1] of failing 
 that [VBP,1] not party 	 which [VBP,1] not parties 
 i am not [PRP$,1] mother 	 i 'm not [PRP$,1] mother 
 [PRP,1] [VBD,2] n't think so 	 [PRP,1] [VBD,2] not think so 
 we [VBD,1] not know 	 we [VBD,1] n't know 
 not too much trouble 	 not too much to ask 
 i do not [VB,1] who 	 i do n't [VB,1] who 
 has not managed [TO,1] [VP/NP,2] 	 has failed [TO,1] [VP/NP,2] 
 [SBAR/VP,1] [VBZ,2] not proved that 	 [SBAR/VP,1] [VBZ,2] not shown that 
 will not function [RB,1] if 	 will not operate [RB,1] if 
 that you are not 	 that you 're not 
 no [COMMA,1] you [VBP,2] n't 	 no [COMMA,1] you [VBP,2] not 
 [PP/ADJP,1] unrelated to 	 [PP/ADJP,1] not related to 
 [VBZ,1] not required [PP/NNS,2] 	 [VBZ,1] no need [PP/NNS,2] 
 [PP/VP,1] not [VBN,2] by 	 [PP/VP,1] not [VBN,2] under 
 can not [VP/RB,1] [RB,2] 	 ca n't [VP/RB,1] [RB,2] 
 do n't even know [IN,1] 	 'm not even sure [IN,1] 
 [VP/VP,1] does not [VP/VP,2] be 	 [VP/VP,1] did n't [VP/VP,2] be 
 not [ADJP/NP,1] the [NP\DT,2] 	 n't [ADJP/NP,1] the [NP\DT,2] 
 is not relevant [PP,1] 	 is irrelevant [PP,1] 
 [VP/S,1] they can not 	 [VP/S,1] they ca n't 
 [NN,1] was not 	 [NN,1] was n't 
 [DT,1] goal [VBZ,2] not 	 [DT,1] objective [VBZ,2] not 
 [NNP,1] 's not [NP,2] 	 [NNP,1] is n't [NP,2] 
 purpose is not to 	 aim is not to 
 [VBP,1] n't lost 	 [VBP,1] not lost 
 maybe it 's not [ADJP,1] 	 it 's probably not [ADJP,1] 
 not dying [PP,1] 	 n't die [PP,1] 
 [PRP,1] 'm not [PP/PRP,2] 	 [PRP,1] have nothing [PP/PRP,2] 
 we [VBP,1] not know [SBAR/VBZ,2] 	 we [VBP,1] n't know [SBAR/VBZ,2] 
 [NP,1] can not [VB,2] solved 	 [NP,1] can not [VB,2] resolved 
 [SBAR/VP,1] is not relevant 	 [SBAR/VP,1] is irrelevant 
 'm not [NP/VP,1] [VP,2] 	 am not [NP/VP,1] [VP,2] 
 [DT,1] issues can not 	 [DT,1] matter can not 
 those [NNS,1] [MD,2] not be 	 such [NNS,1] [MD,2] not be 
 [VBZ,1] no use . 	 [VBZ,1] not worth it . 
